Datetime,Date,PeriodID(1 to 48),Area Demand (MW),Nuclear,Thermal (LNG),Thermal (Coal),Thermal (Oil),Thermal (Other),Hydroelectric,Geothermal,Biomass,Solar PV Output,Solar PV Curtailment,Wind Power Output,Wind Power Curtailment,Pumped Storage,Battery Storage,Interconnected Lines,Others,Total
2024-03-01 00:00:00,2024-03-01,1,14374.0,0.0,7778.0,1978.0,0.0,466.0,1592.0,2.0,238.0,0.0,0.0,168.0,0.0,4.0,0.0,2114.0,34.0,14374.0
2024-03-01 00:30:00,2024-03-01,2,13960.0,0.0,7384.0,1786.0,0.0,440.0,1592.0,2.0,242.0,0.0,0.0,154.0,0.0,2.0,0.0,2328.0,30.0,13960.0
2024-03-01 01:00:00,2024-03-01,3,13906.0,0.0,7256.0,1514.0,0.0,424.0,1598.0,0.0,240.0,0.0,0.0,128.0,0.0,4.0,0.0,2694.0,48.0,13906.0
2024-03-01 01:30:00,2024-03-01,4,13768.0,0.0,7008.0,1402.0,0.0,428.0,1604.0,2.0,242.0,0.0,0.0,124.0,0.0,32.0,0.0,2882.0,44.0,13768.0
2024-03-01 02:00:00,2024-03-01,5,13832.0,0.0,6992.0,1302.0,0.0,426.0,1600.0,2.0,242.0,0.0,0.0,162.0,0.0,56.0,0.0,3008.0,42.0,13832.0
2024-03-01 02:30:00,2024-03-01,6,13886.0,0.0,7134.0,1246.0,0.0,426.0,1608.0,2.0,242.0,0.0,0.0,176.0,0.0,50.0,0.0,2964.0,38.0,13886.0
2024-03-01 03:00:00,2024-03-01,7,13950.0,0.0,7174.0,1276.0,0.0,430.0,1610.0,2.0,240.0,0.0,0.0,204.0,0.0,48.0,0.0,2950.0,16.0,13950.0
2024-03-01 03:30:00,2024-03-01,8,13948.0,0.0,7250.0,1276.0,0.0,426.0,1606.0,2.0,242.0,0.0,0.0,218.0,0.0,62.0,0.0,2848.0,18.0,13948.0
2024-03-01 04:00:00,2024-03-01,9,14060.0,0.0,7218.0,1350.0,0.0,424.0,1632.0,2.0,238.0,2.0,0.0,214.0,0.0,62.0,0.0,2906.0,12.0,14060.0
2024-03-01 04:30:00,2024-03-01,10,13982.0,0.0,7182.0,1504.0,0.0,426.0,1624.0,2.0,242.0,2.0,0.0,196.0,0.0,54.0,0.0,2738.0,12.0,13982.0
2024-03-01 05:00:00,2024-03-01,11,14272.0,0.0,7542.0,1754.0,0.0,424.0,1632.0,2.0,238.0,2.0,0.0,192.0,0.0,52.0,0.0,2422.0,12.0,14272.0
2024-03-01 05:30:00,2024-03-01,12,14506.0,0.0,7794.0,1726.0,0.0,430.0,1628.0,2.0,240.0,4.0,0.0,206.0,0.0,64.0,0.0,2400.0,12.0,14506.0
2024-03-01 06:00:00,2024-03-01,13,15168.0,0.0,8474.0,1930.0,0.0,430.0,1712.0,2.0,238.0,6.0,0.0,234.0,0.0,66.0,0.0,2064.0,12.0,15168.0
2024-03-01 06:30:00,2024-03-01,14,15840.0,0.0,9456.0,1972.0,0.0,432.0,1712.0,2.0,234.0,20.0,0.0,232.0,0.0,268.0,2.0,1502.0,8.0,15840.0
2024-03-01 07:00:00,2024-03-01,15,16398.0,0.0,9930.0,1982.0,0.0,452.0,1708.0,0.0,236.0,118.0,0.0,252.0,0.0,800.0,0.0,908.0,12.0,16398.0
2024-03-01 07:30:00,2024-03-01,16,16920.0,0.0,9596.0,1968.0,0.0,446.0,1710.0,2.0,234.0,970.0,0.0,262.0,0.0,860.0,2.0,860.0,10.0,16920.0
2024-03-01 08:00:00,2024-03-01,17,17920.0,0.0,8766.0,1956.0,0.0,430.0,1696.0,2.0,232.0,2312.0,0.0,262.0,0.0,596.0,2.0,1656.0,10.0,17920.0
2024-03-01 08:30:00,2024-03-01,18,18576.0,0.0,8594.0,1968.0,0.0,416.0,1710.0,2.0,232.0,3578.0,0.0,252.0,0.0,166.0,2.0,1644.0,12.0,18576.0
2024-03-01 09:00:00,2024-03-01,19,18936.0,0.0,7962.0,1938.0,0.0,400.0,1664.0,2.0,232.0,4490.0,0.0,244.0,0.0,164.0,0.0,1830.0,10.0,18936.0
2024-03-01 09:30:00,2024-03-01,20,18872.0,0.0,6984.0,1502.0,0.0,372.0,1652.0,2.0,230.0,5514.0,0.0,252.0,0.0,150.0,0.0,2202.0,12.0,18872.0
2024-03-01 10:00:00,2024-03-01,21,18496.0,0.0,6054.0,1440.0,0.0,374.0,1622.0,0.0,232.0,6016.0,0.0,280.0,0.0,128.0,0.0,2342.0,8.0,18496.0
2024-03-01 10:30:00,2024-03-01,22,18350.0,0.0,5344.0,1260.0,0.0,374.0,1636.0,2.0,232.0,6494.0,0.0,290.0,0.0,134.0,0.0,2576.0,8.0,18350.0
2024-03-01 11:00:00,2024-03-01,23,18148.0,0.0,5116.0,1202.0,0.0,372.0,1620.0,2.0,232.0,6658.0,0.0,292.0,0.0,120.0,0.0,2526.0,8.0,18148.0
2024-03-01 11:30:00,2024-03-01,24,17866.0,0.0,4520.0,1174.0,0.0,368.0,1616.0,2.0,234.0,6964.0,0.0,290.0,0.0,34.0,0.0,2658.0,6.0,17866.0
2024-03-01 12:00:00,2024-03-01,25,16694.0,0.0,4624.0,1190.0,0.0,368.0,1602.0,2.0,232.0,6904.0,0.0,286.0,0.0,-692.0,0.0,2170.0,8.0,16694.0
2024-03-01 12:30:00,2024-03-01,26,16488.0,0.0,4250.0,1208.0,0.0,366.0,1594.0,2.0,236.0,7098.0,0.0,286.0,0.0,-1306.0,0.0,2748.0,6.0,16488.0
2024-03-01 13:00:00,2024-03-01,27,16706.0,0.0,4512.0,1292.0,0.0,368.0,1598.0,2.0,232.0,6622.0,0.0,282.0,0.0,-1052.0,0.0,2842.0,8.0,16706.0
2024-03-01 13:30:00,2024-03-01,28,17034.0,0.0,4536.0,1226.0,0.0,368.0,1578.0,2.0,234.0,6664.0,0.0,282.0,0.0,-652.0,0.0,2788.0,8.0,17034.0
2024-03-01 14:00:00,2024-03-01,29,16884.0,0.0,4784.0,1340.0,0.0,366.0,1604.0,2.0,234.0,6190.0,0.0,268.0,0.0,-450.0,0.0,2540.0,6.0,16884.0
2024-03-01 14:30:00,2024-03-01,30,16812.0,0.0,5292.0,1588.0,0.0,370.0,1610.0,2.0,232.0,5214.0,0.0,258.0,0.0,90.0,0.0,2150.0,6.0,16812.0
2024-03-01 15:00:00,2024-03-01,31,16732.0,0.0,5816.0,1906.0,0.0,368.0,1666.0,2.0,234.0,4340.0,0.0,224.0,0.0,160.0,0.0,2010.0,6.0,16732.0
2024-03-01 15:30:00,2024-03-01,32,16824.0,0.0,6976.0,1864.0,0.0,370.0,1770.0,2.0,236.0,3134.0,0.0,198.0,0.0,170.0,0.0,2094.0,10.0,16824.0
2024-03-01 16:00:00,2024-03-01,33,16682.0,0.0,7784.0,1986.0,0.0,366.0,1788.0,0.0,234.0,1706.0,0.0,184.0,0.0,164.0,0.0,2464.0,6.0,16682.0
2024-03-01 16:30:00,2024-03-01,34,16748.0,0.0,8754.0,1968.0,0.0,376.0,1800.0,2.0,234.0,720.0,0.0,182.0,0.0,166.0,0.0,2538.0,8.0,16748.0
2024-03-01 17:00:00,2024-03-01,35,16650.0,0.0,9540.0,1892.0,0.0,380.0,1922.0,2.0,238.0,162.0,0.0,154.0,0.0,208.0,0.0,2146.0,6.0,16650.0
2024-03-01 17:30:00,2024-03-01,36,17008.0,0.0,9558.0,1968.0,0.0,396.0,1918.0,2.0,234.0,16.0,0.0,150.0,0.0,630.0,0.0,2126.0,10.0,17008.0
2024-03-01 18:00:00,2024-03-01,37,17184.0,0.0,9470.0,1982.0,0.0,396.0,1934.0,2.0,236.0,4.0,0.0,162.0,0.0,874.0,2.0,2114.0,8.0,17184.0
2024-03-01 18:30:00,2024-03-01,38,17094.0,0.0,9550.0,1976.0,0.0,398.0,1924.0,2.0,236.0,2.0,0.0,156.0,0.0,786.0,2.0,2056.0,6.0,17094.0
2024-03-01 19:00:00,2024-03-01,39,16900.0,0.0,9058.0,1986.0,0.0,396.0,1900.0,2.0,236.0,0.0,0.0,176.0,0.0,772.0,0.0,2362.0,12.0,16900.0
2024-03-01 19:30:00,2024-03-01,40,16688.0,0.0,8846.0,1976.0,0.0,376.0,1860.0,2.0,234.0,0.0,0.0,172.0,0.0,770.0,0.0,2440.0,12.0,16688.0
2024-03-01 20:00:00,2024-03-01,41,16596.0,0.0,8462.0,1986.0,0.0,374.0,1824.0,2.0,236.0,0.0,0.0,176.0,0.0,792.0,0.0,2730.0,14.0,16596.0
2024-03-01 20:30:00,2024-03-01,42,16414.0,0.0,8406.0,1908.0,0.0,372.0,1752.0,2.0,236.0,0.0,0.0,172.0,0.0,794.0,0.0,2756.0,16.0,16414.0
2024-03-01 21:00:00,2024-03-01,43,16200.0,0.0,8626.0,1802.0,0.0,374.0,1646.0,2.0,236.0,0.0,0.0,182.0,0.0,736.0,0.0,2580.0,16.0,16200.0
2024-03-01 21:30:00,2024-03-01,44,15850.0,0.0,8514.0,1742.0,0.0,376.0,1626.0,2.0,236.0,0.0,0.0,196.0,0.0,678.0,0.0,2462.0,18.0,15850.0
2024-03-01 22:00:00,2024-03-01,45,15836.0,0.0,8496.0,1738.0,0.0,374.0,1638.0,0.0,232.0,0.0,0.0,244.0,0.0,662.0,0.0,2428.0,24.0,15836.0
2024-03-01 22:30:00,2024-03-01,46,15356.0,0.0,8306.0,1564.0,0.0,374.0,1560.0,2.0,238.0,0.0,0.0,248.0,0.0,624.0,0.0,2416.0,24.0,15356.0
2024-03-01 23:00:00,2024-03-01,47,15418.0,0.0,8298.0,1560.0,0.0,376.0,1562.0,2.0,236.0,0.0,0.0,252.0,0.0,394.0,0.0,2708.0,30.0,15418.0
2024-03-01 23:30:00,2024-03-01,48,15044.0,0.0,8162.0,1676.0,0.0,374.0,1558.0,2.0,234.0,0.0,0.0,262.0,0.0,166.0,0.0,2580.0,30.0,15044.0
2024-03-02 00:00:00,2024-03-02,1,14638.0,0.0,8220.0,1464.0,0.0,376.0,1572.0,2.0,234.0,0.0,0.0,248.0,0.0,124.0,0.0,2350.0,48.0,14638.0
2024-03-02 00:30:00,2024-03-02,2,14242.0,0.0,7790.0,1406.0,0.0,374.0,1560.0,2.0,230.0,0.0,0.0,272.0,0.0,94.0,0.0,2468.0,46.0,14242.0
2024-03-02 01:00:00,2024-03-02,3,14212.0,0.0,7586.0,1274.0,0.0,374.0,1566.0,2.0,232.0,0.0,0.0,264.0,0.0,102.0,0.0,2770.0,42.0,14212.0
2024-03-02 01:30:00,2024-03-02,4,14104.0,0.0,7804.0,1122.0,0.0,370.0,1566.0,0.0,236.0,0.0,0.0,262.0,0.0,122.0,0.0,2584.0,38.0,14104.0
2024-03-02 02:00:00,2024-03-02,5,14354.0,0.0,7926.0,1262.0,0.0,372.0,1558.0,2.0,236.0,0.0,0.0,268.0,0.0,110.0,0.0,2608.0,12.0,14354.0
2024-03-02 02:30:00,2024-03-02,6,14210.0,0.0,8038.0,1470.0,0.0,374.0,1554.0,2.0,234.0,0.0,0.0,268.0,0.0,186.0,0.0,2072.0,12.0,14210.0
