Datetime,Date,PeriodID(1 to 48),Area Demand (MW),Nuclear,Thermal (LNG),Thermal (Coal),Thermal (Oil),Thermal (Other),Hydroelectric,Geothermal,Biomass,Solar PV Output,Solar PV Curtailment,Wind Power Output,Wind Power Curtailment,Pumped Storage,Battery Storage,Interconnected Lines,Others,Total
2024-02-01 00:00:00,2024-02-01,1,8808.0,0.0,4464.0,4729.0,410.0,363.0,1459.0,160.0,521.0,0.0,0.0,1241.0,0.0,1.0,-1.0,-4546.0,6.0,8807.0
2024-02-01 00:30:00,2024-02-01,2,8597.0,0.0,3952.0,4648.0,412.0,363.0,1458.0,161.0,500.0,0.0,0.0,1211.0,0.0,1.0,-1.0,-4114.0,5.0,8596.0
2024-02-01 01:00:00,2024-02-01,3,8727.0,0.0,3896.0,4632.0,412.0,361.0,1458.0,161.0,503.0,0.0,0.0,1142.0,0.0,1.0,-1.0,-3844.0,5.0,8726.0
2024-02-01 01:30:00,2024-02-01,4,8957.0,0.0,4022.0,4899.0,406.0,357.0,1458.0,159.0,502.0,0.0,0.0,1195.0,0.0,1.0,-1.0,-4048.0,6.0,8956.0
2024-02-01 02:00:00,2024-02-01,5,8966.0,0.0,4020.0,4825.0,406.0,355.0,1457.0,160.0,501.0,0.0,0.0,1236.0,0.0,1.0,-1.0,-4002.0,7.0,8965.0
2024-02-01 02:30:00,2024-02-01,6,9183.0,0.0,4108.0,4950.0,410.0,351.0,1460.0,159.0,502.0,0.0,0.0,1208.0,0.0,1.0,-1.0,-3972.0,6.0,9182.0
2024-02-01 03:00:00,2024-02-01,7,9255.0,0.0,4220.0,5095.0,404.0,350.0,1483.0,161.0,497.0,0.0,0.0,1262.0,0.0,1.0,-1.0,-4224.0,6.0,9254.0
2024-02-01 03:30:00,2024-02-01,8,9302.0,0.0,4230.0,5085.0,406.0,347.0,1474.0,160.0,494.0,0.0,0.0,1444.0,0.0,1.0,-1.0,-4344.0,5.0,9301.0
2024-02-01 04:00:00,2024-02-01,9,9419.0,0.0,4244.0,5250.0,406.0,351.0,1481.0,158.0,491.0,0.0,0.0,1538.0,0.0,1.0,-1.0,-4506.0,5.0,9418.0
2024-02-01 04:30:00,2024-02-01,10,9514.0,0.0,4180.0,5306.0,406.0,424.0,1486.0,161.0,491.0,0.0,0.0,1589.0,0.0,1.0,-1.0,-4536.0,6.0,9513.0
2024-02-01 05:00:00,2024-02-01,11,9669.0,0.0,4574.0,5209.0,410.0,361.0,1495.0,160.0,488.0,0.0,0.0,1608.0,0.0,1.0,-1.0,-4646.0,9.0,9668.0
2024-02-01 05:30:00,2024-02-01,12,9943.0,0.0,4880.0,5326.0,418.0,356.0,1517.0,158.0,488.0,0.0,0.0,1629.0,0.0,1.0,-1.0,-4840.0,10.0,9942.0
2024-02-01 06:00:00,2024-02-01,13,10193.0,0.0,4758.0,5488.0,416.0,372.0,1571.0,160.0,487.0,0.0,0.0,1643.0,0.0,1.0,-4.0,-4714.0,11.0,10189.0
2024-02-01 06:30:00,2024-02-01,14,10322.0,0.0,4678.0,5516.0,408.0,371.0,1575.0,160.0,486.0,13.0,0.0,1596.0,0.0,1.0,16.0,-4500.0,18.0,10338.0
2024-02-01 07:00:00,2024-02-01,15,10396.0,0.0,4536.0,5438.0,406.0,373.0,1564.0,159.0,484.0,165.0,0.0,1593.0,0.0,1.0,0.0,-4350.0,27.0,10396.0
2024-02-01 07:30:00,2024-02-01,16,10717.0,0.0,4674.0,5338.0,408.0,402.0,1575.0,148.0,494.0,506.0,0.0,1645.0,0.0,1.0,7.0,-4496.0,22.0,10724.0
2024-02-01 08:00:00,2024-02-01,17,11153.0,0.0,4930.0,5183.0,404.0,422.0,1590.0,147.0,500.0,971.0,0.0,1662.0,0.0,1.0,4.0,-4676.0,19.0,11157.0
2024-02-01 08:30:00,2024-02-01,18,11353.0,0.0,4692.0,4946.0,390.0,426.0,1603.0,149.0,525.0,1548.0,0.0,1669.0,0.0,1.0,4.0,-4614.0,18.0,11357.0
2024-02-01 09:00:00,2024-02-01,19,11576.0,0.0,4696.0,4712.0,402.0,418.0,1535.0,146.0,527.0,2110.0,0.0,1658.0,0.0,1.0,3.0,-4648.0,19.0,11579.0
