Date,Time,Hokkaido,Tohoku,Tokyo,Chuubu,Hokuriku,Kansai,Chuugoku,Shikoku,Kyushu
2016-04-01,0:00,3170,7890,25550,12370,2930,12950,5810,2490,7450
2016-04-01,1:00,3280,8160,24330,12130,3070,12800,6000,2610,7660
2016-04-01,2:00,3390,8420,23930,12270,3270,13310,6400,2870,8180
2016-04-01,3:00,3470,8580,23750,12360,3370,13590,6650,3010,8800
2016-04-01,4:00,3600,8810,23900,12230,3390,13340,6580,2990,8920
2016-04-01,5:00,3550,9110,24670,12290,3320,12940,6220,2820,8770
2016-04-01,6:00,3400,9030,26310,12800,3220,13310,6210,2660,8820
2016-04-01,7:00,3240,8650,27750,13760,3100,14240,6440,2680,9150
2016-04-01,8:00,3380,9080,29650,15510,3210,15770,6820,3080,9440
2016-04-01,9:00,3500,9430,31590,16820,3360,17110,7350,3290,9760
2016-04-01,10:00,3490,9470,32110,16960,3380,17470,7400,3350,9920
2016-04-01,11:00,3500,9400,32650,16930,3400,17520,7270,3310,9860
2016-04-01,12:00,3320,8780,31600,15850,3170,16490,6670,3100,9260
2016-04-01,13:00,3360,8970,32880,16900,3340,16790,7050,3250,9760
2016-04-01,14:00,3360,9010,33610,16950,3360,17120,7140,3260,9400
2016-04-01,15:00,3350,8980,33620,16580,3300,17260,7100,3200,9500
2016-04-01,16:00,3450,9130,34060,16600,3280,17470,7000,3170,9620
2016-04-01,17:00,3520,9200,34380,16220,3220,17360,6870,3150,9620
2016-04-01,18:00,3750,9600,35010,16410,3280,17530,7040,3210,9930
2016-04-01,19:00,3720,9350,33810,15820,3220,17150,6930,3160,9940
2016-04-01,20:00,3510,8890,32420,15130,3080,16380,6680,3030,9530
2016-04-01,21:00,3380,8440,30840,14590,2970,15570,6350,2850,9090
2016-04-01,22:00,3210,8240,29730,13990,2920,14870,6200,2660,8780
2016-04-01,23:00,3260,8150,28110,13520,2880,14100,6010,2570,8130
2016-04-02,0:00,3180,7850,26130,12460,2840,13330,5890,2570,7490
2016-04-02,1:00,3270,8070,24920,12100,2930,12950,5970,2610,7660
2016-04-02,2:00,3340,8320,24310,12130,3160,13430,6370,2870,8060
2016-04-02,3:00,3420,8450,24030,12130,3240,13590,6620,3020,8600
2016-04-02,4:00,3490,8660,23900,11840,3240,13330,6570,3010,8760
2016-04-02,5:00,3430,8810,24320,11520,3100,12760,6150,2830,8530
2016-04-02,6:00,3260,8530,25430,11250,2900,12500,5940,2610,8170
2016-04-02,7:00,3180,8350,27340,11530,2740,12830,6010,2430,7980
2016-04-02,8:00,3320,9050,30190,12430,2750,13830,6300,2740,8100
2016-04-02,9:00,3410,9540,32250,13020,2820,14510,6380,3020,8250
2016-04-02,10:00,3310,9520,32580,13010,2810,14700,6230,3080,8330
2016-04-02,11:00,3270,9700,32390,12810,2780,14800,6100,3110,8410
2016-04-02,12:00,3100,9180,31670,12280,2670,14120,5880,3020,8270
2016-04-02,13:00,3140,9180,31120,12350,2700,14330,6110,2980,8250
2016-04-02,14:00,3170,9010,30490,12390,2700,14240,6200,2890,8230
2016-04-02,15:00,3230,8890,30430,12170,2670,14330,6200,2870,8200
2016-04-02,16:00,3330,9020,30980,12230,2670,14590,6140,2900,8350
